State,Populiation Density,Median Household Income
AL,99.2,54943
AZ,62.9,65913
CA,253.7,84097
CO,55.7,80184
CT,744.7,83572
DC,11280.7,93547
DE,508,72724
FL,401.4,61777
GA,185.6,65030
HI,226.6,88005
IL,230.8,72563
IN,189.4,61944
MA,901.2,89026
MD,636.1,91431
MI,178,63202
MN,71.7,77706
MO,7.4,60560
NJ,1263,89703
NV,28.3,65686
NY,428.7,75157
OH,288.8,61938
OR,44.1,70084
PA,290.6,67587
PR,959.6,21967
SC,170.3,58234
TN,167.6,58516
TX,111.6,67321
UT,39.7,79133
VA,218.6,80615
WA,115.9,82400
WI,108.8,67080
